Entry,Entryname,Status,Proteinnames,Genenames,Organism,Length,ECnumber,Geneontology,Crossreference
D6RDJ1,D6RDJ1_HUMAN,unreviewed,Cell growth-regulating nucleolar protein (Fragment),Homo sapiens (Human),79,LYAR,,nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; DNA binding [GO:0003677],IPR039999;IPR041010;IPR014898;IPR036236;
A0A5C2GSN4,A0A5C2GSN4_HUMAN,unreviewed,IG c905_light_IGLV3-21_IGLJ3 (Fragment),Homo sapiens (Human),108,,,,
A0A127AXH5,A0A127AXH5_HUMAN,unreviewed,Retinal homeobox protein Rx (Fragment),Homo sapiens (Human),165,RAX,,nucleus [GO:0005634]; DNA binding [GO:0003677]; multicellular organism development [GO:0007275],IPR009057;IPR001356;IPR003654;
A0A386RW46,A0A386RW46_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),364,HLA-A,,integral component of membrane [GO:0016021]; MHC class I protein complex [GO:0042612]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; immune response [GO:0006955],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;IPR010579;
J3QRB9,J3QRB9_HUMAN,unreviewed,Sorting nexin-11 (Fragment),Homo sapiens (Human),172,SNX11,,phosphatidylinositol binding [GO:0035091]; intracellular protein transport [GO:0006886],IPR001683;IPR036871;IPR028655;
U3KQ00,U3KQ00_HUMAN,unreviewed,Interleukin-1 receptor-associated kinase 1-binding protein 1 (Fragment),Homo sapiens (Human),44,IRAK1BP1,,,
A0A2U3QLQ4,A0A2U3QLQ4_HUMAN,unreviewed,MHC class I antigen,Homo sapiens (Human),365,HLA-A,,integral component of membrane [GO:0016021]; MHC class I protein complex [GO:0042612]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; immune response [GO:0006955],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;IPR010579;
E9PRA5,E9PRA5_HUMAN,unreviewed,Sodium/potassium-transporting ATPase subunit alpha-4,Homo sapiens (Human),517,ATP1A4,,integral component of membrane [GO:0016021]; ATP binding [GO:0005524],IPR004014;IPR023299;IPR018303;IPR023298;IPR008250;IPR001757;
A0A2X0SFR8,A0A2X0SFR8_HUMAN,unreviewed,DOCK4 (Fragment),Homo sapiens (Human),2013,DOCK4,,GTPase activator activity [GO:0005096]; guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264],IPR037811;IPR035892;IPR027007;IPR027357;IPR026791;IPR037014;IPR035769;IPR010703;IPR032376;IPR042455;IPR036028;IPR001452;
B4DG29,B4DG29_HUMAN,unreviewed,"cDNA FLJ51738 (cDNA FLJ52124) (cDNA, FLJ78848)",Homo sapiens (Human),159,,,,
A0A0U4DAW6,A0A0U4DAW6_HUMAN,unreviewed,Truncated EKLF (Fragment),Homo sapiens (Human),70,KLF1,,,IPR031786;IPR031784;
E9PSA5,E9PSA5_HUMAN,unreviewed,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 (Fragment),Homo sapiens (Human),223,ALKBH3,,cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; dioxygenase activity [GO:0051213]; DNA dealkylation involved in DNA repair [GO:0006307]; oxidative single-stranded DNA demethylation [GO:0035552],IPR027450;IPR037151;IPR032854;
A0A2Z4C3S4,A0A2Z4C3S4_HUMAN,unreviewed,MHC class I antigen,Homo sapiens (Human),366,HLA-C,,integral component of membrane [GO:0016021]; MHC class I protein complex [GO:0042612]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; immune response [GO:0006955],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;IPR010579;
